index_id	category	text
1523	science/technology	Liom duɔ̱ɔ̱rä la ji̱i̱n mi̱ dɔ̱ŋ ɛ no̱o̱ŋɛ, kä mi̱ caa jicdɛ liny laa bëë raar kä tuŋ in göl in caa nyoth.
1644	science/technology	Ɛn buɔ̱m in laa mär lätdɛ kɛ ɣöö bɛ buɔ̱m naŋ guäth kɛl ce̱tkɛ nukliöth mi̱ te̱kɛ pi̱rɔtɔni̱ ti̱ ŋuan kɛnɛ nie̱wtɔni̱.
558	science/technology	Ɣɛn nuklieth tëë kɛ gua̱th da̱ŋ rɛw. pirɔtɔni̱ kɛnɛ Nie̱wtirɔni̱.
456	science/technology	Nɛmɛ cua dhuum lɛnthɛthni̱ jakä ɣöö bɛ thurɛ ni̱ ti̱ gɔw nööŋ ti̱ la̱nykɛ lɛnthi̱thni̱ tin ca la̱t ɛ la ɣöö  /ci̱kɛ räth ɛlɔ̱ŋ.
906	science/technology	Kɛn tëkɛ të kɛ wi̱i̱kä wɛb prɔkthi̱th kɛ dup ti̱ ŋuan.kɛn ku kɛn trapik intɛrnɛtni̱ dial pith ɛ /ci̱ lapɛ http.
452	science/technology	Ca̱pla̱t ŋɔani̱kɛɛl jɛn go̱rɛ ɣöö ji̱n biɛ-nyɔk kɛ guäc ɛn ta̱a̱ in bɔ̱ ŋɔaani̱ raar kɛ jɛ kä media kɛnɛ gör ŋäcä cärä mi̱ /ci̱ wi̱du bi̱ ko̱t kä kɛl.
1557	science/technology	Ɣɛn nɔmɔ cuaa läth lät kuee laa ni̱ ɣöö ɣɛn yiiedh ɛmɔ coth ɛ jiɛn tin caa la̱t ni̱ ciöök thurbiɛɛli̱ jiöök tuɔ̱ruɔ̱k.
1360	science/technology	praid laa tekɛ tut luɔny kɛl ɛ wä kä diɔ̱k, kɛɛl kɛnɛ ŋut luɔny kɛnɛ dɛy ti̱ cop jiɛndiɔ̱k.
1675	science/technology	Ɛ cäŋ ni̱ min AI tëë luɔ̱ɔ̱tni̱ ti̱ ŋuan kä ta̱a̱ in caa naŋ ni̱ thaany,AI cɛ kaar kɛl mi̱ bumbum kä kɔmpie̱tɛr thaany  min lät kɛ ta̱a̱ ciɛŋa̱, ta̱a̱ ŋi̱i̱cä kɛnɛ ŋa̱c ŋɔaani̱ kɛ ŋie̱c diɛn kä maciin.
1430	science/technology	Jɛn ta̱a̱ rɛciö duŋ puɔrmatä dɛ (da̱k jɛ kä wälrɛw kɛ nŋo̱dɛ kɛ rɛci̱ö na̱mbäri̱-diaal) kɛ kui̱c ɛmɔ ba cu lari̱ bɛ a 3:2.
